Familia Carrera,Carrera,Institución,Ubicación,Tipo Institución,Tipo Gestión,Duración,Costo (S/.),Ingresantes/Postulantes (%),Ingreso Promedio Nacional (S/.),Crédito universitario,Becas educativas,Ingresantes,Postulantes,Matriculados
Ciencias de la Computación,Computación e Informática,Haquira,Apurimac,INSTITUTO,PUBLICA,3,90,ND,ND,No,Si,ND,ND,ND
Ciencias de la Computación,Computación e Informática,Nfotronic,Ancash,INSTITUTO,PRIVADA,3,1660,100,ND,No,No,25,25,78
Ciencias de la Computación,Computación e Informática,Idat - Piura,Piura,INSTITUTO,PRIVADA,3,2280,100,2072,No,No,40,40,162
Ciencias de la Computación,Computación e Informática,Sabio Nacional Antúnez De Mayolo-Telesup,Lima,INSTITUTO,PRIVADA,3,100 - 228,79,1515,Si,Si,2131,2700,6070
Ciencias de la Computación,Computación e Informática,Alto Mayo,San Martin,INSTITUTO,PUBLICA,3,380,93,ND,No,No,40,43,190
Ciencias de la Computación,Computación e Informática,Computer Master,Ica,INSTITUTO,PRIVADA,3,1720,24,ND,No,Si,13,55,115
Ciencias de la Computación,Computación e Informática,Sencico Trujillo,La Libertad,INSTITUTO,PRIVADA,3,2460,93,ND,No,Si,84,90,223
Ciencias de la Computación,Computación e Informática,San Luis,La Libertad,INSTITUTO,PRIVADA,3,1000,100,ND,No,Si,36,36,36
Ciencias de la Computación,Computación e Informática,San Ignacio De Monterrico-Sidem,Lima,INSTITUTO,PRIVADA,3,2160,95,ND,Si,Si,200,210,412
Ciencias de la Computación,Computación e Informática,Benjamín Franklin,Moquegua,INSTITUTO,PRIVADA,3,350,ND,ND,Si,Si,ND,ND,27
Ciencias de la Computación,Computación e Informática,San Pedro,Junin,INSTITUTO,PRIVADA,3,"920 - 1,460",ND,ND,Si,Si,ND,ND,ND
Ciencias de la Computación,Computación e Informática,Lurín,Lima,INSTITUTO,PUBLICA,3,240,100,ND,Si,Si,65,65,175
Ciencias de la Computación,Computación e Informática,Peruano Canadiense,Ica,INSTITUTO,PRIVADA,3,"1,100 - 1,540",94,ND,No,No,58,62,215
Ciencias de la Computación,Computación e Informática,Misioneros Monfortianos,Lima,INSTITUTO,PUBLICA,3,250,91,ND,No,Si,80,88,79
Ciencias de la Computación,Computación e Informática,José Arnaldo Sabogal Dieguez,Cajamarca,INSTITUTO,PUBLICA,3,200,100,ND,No,No,34,34,173
Ciencias de la Computación,Computación e Informática,Santa Ángela,Piura,INSTITUTO,PRIVADA,3,"1,400 - 1,730",94,1288,No,Si,111,118,258
Ciencias de la Computación,Computación e Informática,José Carlos Mariátegui,Moquegua,INSTITUTO,PUBLICA,3,235,98,ND,No,Si,43,44,144
Ciencias de la Computación,Computación e Informática,Unitek-Juliaca,Puno,INSTITUTO,PRIVADA,3,1720,80,1476,No,Si,59,74,278
Ciencias de la Computación,Computación e Informática,La Recoleta,Arequipa,INSTITUTO,PUBLICA,3,800,100,ND,No,Si,17,17,64
Ciencias de la Computación,Computación e Informática,José Domingo Choquehuanca,Puno,INSTITUTO,PUBLICA,3,170,78,ND,No,No,31,40,170
Ciencias de la Computación,Computación e Informática,Cibernet Utcubamba,Amazonas,INSTITUTO,PRIVADA,3,135 - 230,100,ND,Si,Si,62,62,353
Ciencias de la Computación,Computación e Informática,American Institute,Lambayeque,INSTITUTO,PRIVADA,3,1720,ND,ND,No,No,ND,ND,ND
Ciencias de la Computación,Computación e Informática,José María Arguedas,Ayacucho,INSTITUTO,PUBLICA,3,320,ND,ND,No,Si,ND,ND,ND
Ciencias de la Computación,Computación e Informática,Cibertec,Lima,INSTITUTO,PRIVADA,3,7452,100,2895,Si,Si,1574,1574,4182
Ciencias de la Computación,Computación e Informática,Abaco - Chiclayo,Lambayeque,INSTITUTO,PRIVADA,3,180 - 210,86,1454,No,Si,59,69,59
Ciencias de la Computación,Computación e Informática,Santa María Magdalena,Lima,INSTITUTO,PUBLICA,3,100,100,ND,No,No,40,40,79
Ciencias de la Computación,Computación e Informática,Eleazar Guzmán Barrón,Ancash,INSTITUTO,PUBLICA,3,70,93,ND,No,Si,40,43,67
Ciencias de la Computación,Computación e Informática,Escuela De Negocios Y Desarrollo Gerencial,La Libertad,INSTITUTO,PRIVADA,3,1360,ND,ND,No,Si,ND,ND,ND
Ciencias de la Computación,Computación e Informática,Cutervo,Cajamarca,INSTITUTO,PUBLICA,3,220,68,ND,No,Si,44,65,144
Ciencias de la Computación,Computación e Informática,Santo Tomas,Cusco,INSTITUTO,PUBLICA,3,90,74,ND,Si,Si,40,54,184
Ciencias de la Computación,Computación e Informática,Metropolitano,Lima,INSTITUTO,PRIVADA,3,2060,82,ND,No,Si,119,145,86
Ciencias de la Computación,Computación e Informática,Glicerio Gómez Igarza,Huanuco,INSTITUTO,PUBLICA,3,240,68,ND,No,No,40,59,195
Ciencias de la Computación,Computación e Informática,Isabel La Católica,Huanuco,INSTITUTO,PRIVADA,3,1580,95,ND,Si,Si,38,40,53
Ciencias de la Computación,Computación e Informática,David Sánchez Infante,La Libertad,INSTITUTO,PUBLICA,5,ND,25,ND,No,No,1,4,ND
Ciencias de la Computación,Computación e Informática,Nuñoa,Puno,INSTITUTO,PUBLICA,3,120,100,ND,No,No,21,21,53
Ciencias de la Computación,Computación e Informática,De Concepción,Junin,INSTITUTO,PUBLICA,3,200,ND,ND,Si,No,ND,ND,ND
Ciencias de la Computación,Computación e Informática,Idat,Lima,INSTITUTO,PRIVADA,3,4200,95,2072,No,Si,978,1025,3465
Ciencias de la Computación,Computación e Informática,Faustino B. Franco,Arequipa,INSTITUTO,PUBLICA,3,140,89,ND,No,No,40,45,173
Ciencias de la Computación,Computación e Informática,Jhalebet,Ica,INSTITUTO,PRIVADA,3,"1,500 - 1,600",78,ND,No,Si,159,204,762
Ciencias de la Computación,Computación e Informática,Hno. Victorino Elorz Goicoechea,Cajamarca,INSTITUTO,PUBLICA,3,220,31,ND,No,No,40,127,165
Ciencias de la Computación,Computación e Informática,Idat-Tarapoto,San Martin,INSTITUTO,PRIVADA,3,1620,ND,2072,No,Si,ND,ND,34
Ciencias de la Computación,Computación e Informática,Francisco Ricci,La Libertad,INSTITUTO,PRIVADA,3,170,64,ND,Si,Si,18,28,50
Ciencias de la Computación,Computación e Informática,24 De Julio De Zarumilla,Tumbes,INSTITUTO,PUBLICA,3,240,100,ND,Si,Si,48,48,227
Ciencias de la Computación,Computación e Informática,Churcampa,Huancavelica,INSTITUTO,PUBLICA,3,140,71,ND,No,No,32,45,216
Ciencias de la Computación,Computación e Informática,Horacio Zeballos Gamez,Cusco,INSTITUTO,PUBLICA,3,ND,74,ND,No,No,40,54,36
Ciencias de la Computación,Computación e Informática,Pairan,La Libertad,INSTITUTO,PUBLICA,3,290,100,ND,Si,Si,31,31,31
Ciencias de la Computación,Computación e Informática,Génova,Lima,INSTITUTO,PRIVADA,3,1900,82,ND,No,Si,23,28,57
Ciencias de la Computación,Computación e Informática,El Buen Pastor,Lima,INSTITUTO,PRIVADA,3,100 - 200,88,ND,No,Si,76,86,297
Ciencias de la Computación,Computación e Informática,Ramiro Prialé Prialé,Lima,INSTITUTO,PUBLICA,3,120 - 120,65,ND,Si,Si,60,92,60
Ciencias de la Computación,Computación e Informática,Juan Mejía Baca,Lambayeque,INSTITUTO,PRIVADA,3,240,ND,ND,Si,Si,ND,ND,ND
Ciencias de la Computación,Computación e Informática,Augusto Salazar Bondy,Puno,INSTITUTO,PRIVADA,3,2250,100,ND,No,No,22,22,22
Ciencias de la Computación,Computación e Informática,Luis Negreiros Vega,Lima,INSTITUTO,PUBLICA,3,300,80,ND,No,Si,80,100,310
Ciencias de la Computación,Computación e Informática,Argentina,Lima,INSTITUTO,PUBLICA,3,300,91,1592,No,Si,212,233,213
Ciencias de la Computación,Computación e Informática,Beta Computer,Lima,INSTITUTO,PRIVADA,3,170 - 350,ND,ND,Si,Si,ND,ND,ND
Ciencias de la Computación,Computación e Informática,Macusani,Puno,INSTITUTO,PUBLICA,3,120,41,ND,No,Si,40,97,40
Ciencias de la Computación,Computación e Informática,Alexander Fleming,La Libertad,INSTITUTO,PRIVADA,5,ND,88,ND,No,No,30,34,ND
Ciencias de la Computación,Computación e Informática,La Inmaculada,Arequipa,INSTITUTO,PUBLICA,3,500,100,ND,No,No,18,18,79
Ciencias de la Computación,Computación e Informática,Detecsur,Tacna,INSTITUTO,PRIVADA,3,"1,100 - 1,100",ND,ND,Si,Si,ND,ND,ND
Ciencias de la Computación,Computación e Informática,Unitek,Arequipa,INSTITUTO,PRIVADA,3,"2,100 - 2,400",65,1476,No,No,130,201,425
Ciencias de la Computación,Computación e Informática,Santa Lucia,Junin,INSTITUTO,PRIVADA,3,1460,62,ND,Si,Si,39,63,150
Ciencias de la Computación,Computación e Informática,Manuel Gonzales Prada,La Libertad,INSTITUTO,PUBLICA,3,200,100,ND,No,Si,26,26,26
Ciencias de la Computación,Computación e Informática,Instituto Pedagógico Publico De Picota,San Martin,INSTITUTO,PUBLICA,3,300,ND,ND,No,Si,ND,ND,52
Ciencias de la Computación,Computación e Informática,Cenit Galeaza,Puno,INSTITUTO,PRIVADA,5,260,100,ND,No,No,15,15,65
Ciencias de la Computación,Computación e Informática,Manuel Yarleque Espinoza,Piura,INSTITUTO,PUBLICA,3,200,100,ND,No,Si,25,25,117
Ciencias de la Computación,Computación e Informática,San José Marello,Ancash,INSTITUTO,PRIVADA,3,1400,ND,ND,No,Si,ND,ND,ND
Ciencias de la Computación,Computación e Informática,Ada A. Byron,Ica,INSTITUTO,PRIVADA,3,1370,86,ND,No,Si,73,85,57
Ciencias de la Computación,Computación e Informática,Centro De Investigación Para El Desarrollo Tecnológico - Cidet,Lima,INSTITUTO,PRIVADA,3,1970,100,ND,Si,Si,22,22,21
Ciencias de la Computación,Computación e Informática,San Juan,Piura,INSTITUTO,PRIVADA,3,1920,86,ND,No,Si,60,70,167
Ciencias de la Computación,Computación e Informática,Administración Gerencial Y Sistema - Isag,Lambayeque,INSTITUTO,PRIVADA,3,130 - 190,94,ND,No,Si,217,232,217
Ciencias de la Computación,Computación e Informática,San Agustín,Apurimac,INSTITUTO,PRIVADA,3,"180 - 1,620",83,ND,Si,Si,34,41,148
Ciencias de la Computación,Computación e Informática,María Rosario Araoz Pinto,Lima,INSTITUTO,PUBLICA,3,420,100,ND,Si,Si,35,35,261
Ciencias de la Computación,Computación e Informática,Luciano Castillo Colonna,Piura,INSTITUTO,PUBLICA,3,240,ND,ND,Si,No,ND,ND,ND
Ciencias de la Computación,Computación e Informática,Del Altiplano,Puno,INSTITUTO,PRIVADA,3,1250,100,ND,No,Si,42,42,116
Ciencias de la Computación,Computación e Informática,San Luis María De Montfort,Tacna,INSTITUTO,PRIVADA,3,1900,93,ND,No,Si,25,27,105
Ciencias de la Computación,Computación e Informática,Alas Peruanas - Ica,Ica,INSTITUTO,PRIVADA,3,1020,94,1555,No,Si,16,17,124
Ciencias de la Computación,Computación e Informática,Abancay,Apurimac,INSTITUTO,PUBLICA,3,240,58,ND,Si,Si,40,69,172
Ciencias de la Computación,Computación e Informática,Jorge Basadre,Arequipa,INSTITUTO,PUBLICA,3,180,95,ND,No,Si,62,65,237
Ciencias de la Computación,Computación e Informática,Cesca,Lima,INSTITUTO,PRIVADA,3,800,ND,1592,No,Si,ND,ND,ND
Ciencias de la Computación,Computación e Informática,San Marcos,Lima,INSTITUTO,PRIVADA,3,"900 - 1,100",100,ND,Si,Si,137,137,788
Ciencias de la Computación,Computación e Informática,Urusayhua,Cusco,INSTITUTO,PRIVADA,3,1500,90,ND,Si,Si,70,78,362
Ciencias de la Computación,Computación e Informática,Federico Villarreal,Lima,INSTITUTO,PRIVADA,3,150,74,ND,No,Si,74,100,572
Ciencias de la Computación,Computación e Informática,Octavio Matta Contreras,Cajamarca,INSTITUTO,PUBLICA,3,200,ND,ND,Si,No,ND,ND,55
Ciencias de la Computación,Computación e Informática,Simón Sánchez Reyes,La Libertad,INSTITUTO,PUBLICA,3,110,78,ND,No,Si,14,18,14
Ciencias de la Computación,Computación e Informática,San Ignacio,Cajamarca,INSTITUTO,PUBLICA,3,200,ND,ND,No,Si,ND,ND,ND
Ciencias de la Computación,Computación e Informática,Héroes De Sierra Lumi,Junin,INSTITUTO,PUBLICA,3,40,37,ND,Si,Si,23,63,23
Ciencias de la Computación,Computación e Informática,Idat Chiclayo,Lambayeque,INSTITUTO,PRIVADA,3,300,82,2072,No,Si,59,72,518
Ciencias de la Computación,Computación e Informática,4 De Junio De 1821,Cajamarca,INSTITUTO,PUBLICA,3,240,100,ND,No,No,40,40,215
Ciencias de la Computación,Computación e Informática,Juan Enrique Pestalozzi,Junin,INSTITUTO,PRIVADA,3,290,ND,ND,Si,Si,ND,ND,ND
Ciencias de la Computación,Computación e Informática,Pasco,Pasco,INSTITUTO,PUBLICA,3,150,35,ND,Si,Si,37,106,198
Ciencias de la Computación,Computación e Informática,Gran Chavín,Ancash,INSTITUTO,PRIVADA,3,600,60,ND,Si,Si,18,30,35
Ciencias de la Computación,Computación e Informática,La Salle,Apurimac,INSTITUTO,PUBLICA,3,260,ND,ND,No,Si,ND,ND,160
Ciencias de la Computación,Computación e Informática,Alexander Von Humboldt,Pasco,INSTITUTO,PUBLICA,3,240,89,ND,No,Si,40,45,108
Ciencias de la Computación,Computación e Informática,Manuel Núñez Butrón,Puno,INSTITUTO,PUBLICA,3,75,40,ND,No,No,49,121,49
Ciencias de la Computación,Computación e Informática,American System,Loreto,INSTITUTO,PRIVADA,3,1780,100,ND,No,Si,48,48,150
Ciencias de la Computación,Computación e Informática,Bagua,Amazonas,INSTITUTO,PUBLICA,3,200,100,ND,No,No,38,38,50
Ciencias de la Computación,Computación e Informática,Celendín,Cajamarca,INSTITUTO,PRIVADA,3,1100,87,ND,No,Si,40,46,197
Ciencias de la Computación,Computación e Informática,Abaco - Cusco,Cusco,INSTITUTO,PRIVADA,3,1640,72,ND,Si,Si,65,90,107
Ciencias de la Computación,Computación e Informática,André Vesalio,Lima,INSTITUTO,PRIVADA,3,900,63,ND,Si,Si,50,80,70
Ciencias de la Computación,Computación e Informática,José Pardo,Lima,INSTITUTO,PUBLICA,3,300,ND,ND,No,Si,ND,ND,ND
Ciencias de la Computación,Computación e Informática,De Investigaciones Industriales,Cajamarca,INSTITUTO,PRIVADA,3,"1,200 - 1,450",94,ND,Si,Si,47,50,47
Ciencias de la Computación,Computación e Informática,Nuestra Señora Del Carmen,Lima,INSTITUTO,PRIVADA,3,1120,87,ND,No,Si,26,30,26
Ciencias de la Computación,Computación e Informática,Instituto Superior Pedagógico Publico De Lamas,San Martin,INSTITUTO,PUBLICA,3,320,ND,ND,No,Si,ND,ND,42
Ciencias de la Computación,Computación e Informática,Antonio Lorena,Cusco,INSTITUTO,PRIVADA,3,1700,ND,ND,No,Si,ND,ND,ND
Ciencias de la Computación,Computación e Informática,Llamellin,Ancash,INSTITUTO,PUBLICA,3,80,72,ND,No,No,43,60,194
Ciencias de la Computación,Computación e Informática,Villa María,Lima,INSTITUTO,PUBLICA,3,170,ND,ND,No,No,ND,ND,ND
Ciencias de la Computación,Computación e Informática,San Agustín,Ica,INSTITUTO,PRIVADA,3,1760,ND,ND,Si,Si,ND,ND,16
Ciencias de la Computación,Computación e Informática,José Santos Chocano,Amazonas,INSTITUTO,PUBLICA,5,ND,95,ND,No,No,19,20,ND
Ciencias de la Computación,Computación e Informática,Alas Peruanas,Lambayeque,INSTITUTO,PRIVADA,3,1280,ND,1555,No,No,ND,ND,ND
Ciencias de la Computación,Computación e Informática,San Felipe,Arequipa,INSTITUTO,PRIVADA,3,1340,ND,ND,No,No,ND,ND,ND
Ciencias de la Computación,Computación e Informática,Andabamba,Cajamarca,INSTITUTO,PUBLICA,3,100,100,ND,No,No,35,35,73
Ciencias de la Computación,Computación e Informática,Cepea,Lima,INSTITUTO,PRIVADA,3,2700,100,ND,No,Si,88,88,218
Ciencias de la Computación,Computación e Informática,Antonio Raymondi,Cusco,INSTITUTO,PRIVADA,3,1160,ND,ND,No,Si,ND,ND,ND
Ciencias de la Computación,Computación e Informática,Luis E Valcárcel,Moquegua,INSTITUTO,PUBLICA,3,280,85,ND,No,Si,35,41,143
Ciencias de la Computación,Computación e Informática,Juan XXIII,Ica,INSTITUTO,PUBLICA,5,ND,94,ND,No,No,16,17,ND
Ciencias de la Computación,Computación e Informática,Joaquín Reátegui Medina,Loreto,INSTITUTO,PUBLICA,3,200,91,ND,No,Si,40,44,299
Ciencias de la Computación,Computación e Informática,Alas Peruanas - Lima Instituto De Estudios Empresariales,Lima,INSTITUTO,PRIVADA,3,4200,100,1555,No,Si,10,10,10
Ciencias de la Computación,Computación e Informática,San Ignacio De Loyola,Lima,INSTITUTO,PRIVADA,3,"7,540 - 8,540",ND,2708,No,Si,ND,ND,ND
Ciencias de la Computación,Computación e Informática,Paulo Vi,Callao,INSTITUTO,PRIVADA,5,ND,ND,ND,No,No,ND,3,ND
Ciencias de la Computación,Computación e Informática,Huancavelica,Huancavelica,INSTITUTO,PUBLICA,3,80,53,ND,No,No,68,128,278
Ciencias de la Computación,Computación e Informática,Perú Francia (Perú),Lambayeque,INSTITUTO,PRIVADA,3,"80 - 1,760",ND,ND,Si,Si,ND,ND,ND
Ciencias de la Computación,Computación e Informática,Tuman,Lambayeque,INSTITUTO,PRIVADA,3,1160,100,ND,No,Si,41,41,153
Ciencias de la Computación,Computación e Informática,Cesde (Centro De Enseñanza Superior Para El Desarrollo),Ayacucho,INSTITUTO,PRIVADA,3,2020,73,ND,No,Si,48,66,65
Ciencias de la Computación,Computación e Informática,Mercedes Cabello De Carbonera,Moquegua,INSTITUTO,PUBLICA,5,ND,86,ND,No,No,19,22,ND
Ciencias de la Computación,Computación e Informática,Del Valle Zaña,Lambayeque,INSTITUTO,PRIVADA,3,95 - 115,100,ND,Si,Si,18,18,18
Ciencias de la Computación,Computación e Informática,Unicenter- Universal Informatic Center,Lima,INSTITUTO,PRIVADA,3,1100,ND,ND,No,Si,ND,ND,ND
Ciencias de la Computación,Computación e Informática,Blaise Pascal,San Martin,INSTITUTO,PRIVADA,3,"1,160 - 1,560",ND,ND,Si,Si,ND,ND,197
Ciencias de la Computación,Computación e Informática,Unitek-Chincha,Ica,INSTITUTO,PRIVADA,3,1820,100,1476,No,Si,54,54,143
Ciencias de la Computación,Computación e Informática,Huari,Ancash,INSTITUTO,PUBLICA,5,ND,100,ND,No,No,20,20,ND
Ciencias de la Computación,Computación e Informática,Manuel Arévalo Cáceres,Lima,INSTITUTO,PUBLICA,3,580,100,ND,No,Si,117,117,403
Ciencias de la Computación,Computación e Informática,Utcubamba,Amazonas,INSTITUTO,PUBLICA,3,540,95,ND,Si,No,41,43,192
Ciencias de la Computación,Computación e Informática,Real San Felipe,Cusco,INSTITUTO,PRIVADA,3,1400,64,ND,No,Si,16,25,ND
Ciencias de la Computación,Computación e Informática,De Administración Y Promotoria Empresarial - Inape,Arequipa,INSTITUTO,PRIVADA,3,1620,88,ND,No,Si,14,16,26
Ciencias de la Computación,Computación e Informática,Agustín Bocanegra Y Prada,Ica,INSTITUTO,PUBLICA,5,ND,100,ND,No,No,17,17,ND
Ciencias de la Computación,Computación e Informática,Santa María Mazzarello,Lambayeque,INSTITUTO,PRIVADA,3,"1,070 - 1,800",100,ND,No,No,13,13,13
Ciencias de la Computación,Computación e Informática,Ciro Alegría Bazán,La Libertad,INSTITUTO,PUBLICA,3,180,100,ND,Si,Si,40,40,40
Ciencias de la Computación,Computación e Informática,Educación Y Solidaridad,Lambayeque,INSTITUTO,PRIVADA,3,130 - 180,ND,ND,Si,Si,ND,ND,ND
Ciencias de la Computación,Computación e Informática,Huamachuco,La Libertad,INSTITUTO,PUBLICA,3,100,61,ND,No,Si,46,75,46
Ciencias de la Computación,Computación e Informática,Internacional,Lima,INSTITUTO,PRIVADA,3,ND,ND,ND,No,No,ND,ND,ND
Ciencias de la Computación,Computación e Informática,Paucartambo,Pasco,INSTITUTO,PUBLICA,3,120,65,ND,No,Si,30,46,146
Ciencias de la Computación,Computación e Informática,La Católica-Chota,Cajamarca,INSTITUTO,PRIVADA,3,1720,80,ND,Si,Si,24,30,35
Ciencias de la Computación,Computación e Informática,Señor De Chocan,Piura,INSTITUTO,PUBLICA,3,200,100,ND,Si,Si,40,40,192
Ciencias de la Computación,Computación e Informática,Estudios Superiores Del Sur (Ex San Isidro),Ica,INSTITUTO,PRIVADA,3,250,96,ND,No,Si,50,52,28
Ciencias de la Computación,Computación e Informática,Universidad Peruana Unión,Lima,UNIVERSIDAD,PRIVADA,ND,ND,ND,ND,No,No,ND,ND,ND
Ciencias de la Computación,Computación e Informática,Guadalupe,La Libertad,INSTITUTO,PUBLICA,3,200,100,ND,No,Si,39,39,39
Ciencias de la Computación,Computación e Informática,Expro - Excelencia Profesional,Lima,INSTITUTO,PRIVADA,3,790,ND,ND,Si,Si,ND,ND,ND
Ciencias de la Computación,Computación e Informática,Fermin Tanguis,Ica,INSTITUTO,PRIVADA,3,360,75,ND,No,Si,9,12,37
Ciencias de la Computación,Computación e Informática,Leonardo Da Vinci-Compumatic-Trujillo,La Libertad,INSTITUTO,PRIVADA,3,680,97,1469,No,Si,320,330,316
Ciencias de la Computación,Computación e Informática,De Huarmey,Ancash,INSTITUTO,PUBLICA,3,260,ND,ND,No,Si,ND,ND,ND
Ciencias de la Computación,Computación e Informática,Walter Peñaloza Ramella,Ancash,INSTITUTO,PRIVADA,3,900,100,ND,No,No,25,25,84
Ciencias de la Computación,Computación e Informática,De Piscobamba,Ancash,INSTITUTO,PUBLICA,3,90,ND,ND,No,Si,ND,ND,ND
Ciencias de la Computación,Computación e Informática,Carlos Salazar Romero,Ancash,INSTITUTO,PUBLICA,3,610,53,ND,No,Si,30,57,147
Ciencias de la Computación,Computación e Informática,Fidel Zarate Plasencia,Cajamarca,INSTITUTO,PUBLICA,3,160,100,ND,No,No,20,20,87
Ciencias de la Computación,Computación e Informática,Antenor Orrego,Cajamarca,INSTITUTO,PUBLICA,5,ND,95,ND,No,No,18,19,ND
Ciencias de la Computación,Computación e Informática,Señor De Luren,Ica,INSTITUTO,PRIVADA,3,1480,ND,ND,No,Si,ND,ND,ND
Ciencias de la Computación,Computación e Informática,Mario Gutiérrez López,Junin,INSTITUTO,PUBLICA,3,100,93,ND,No,Si,40,43,85
Ciencias de la Computación,Computación e Informática,Juli,Puno,INSTITUTO,PUBLICA,3,110,ND,ND,No,Si,ND,ND,ND
Ciencias de la Computación,Computación e Informática,Huancaspata,La Libertad,INSTITUTO,PUBLICA,3,50 - 100,ND,ND,No,Si,19,ND,104
Ciencias de la Computación,Computación e Informática,Sergio Bernales García,Lima,INSTITUTO,PRIVADA,3,1700,94,ND,No,No,33,35,33
Ciencias de la Computación,Computación e Informática,José Antonio Encinas,Puno,INSTITUTO,PUBLICA,3,140,75,ND,No,No,80,106,333
Ciencias de la Computación,Computación e Informática,Bitec,Ancash,INSTITUTO,PRIVADA,3,1780,97,ND,No,Si,32,33,32
Ciencias de la Computación,Computación e Informática,Didascalio Cristo Rey,Cusco,INSTITUTO,PRIVADA,3,1370,100,ND,No,Si,18,18,85
Ciencias de la Computación,Computación e Informática,José Antonio Encinas,Tumbes,INSTITUTO,PUBLICA,5,ND,81,ND,No,No,25,31,ND
Ciencias de la Computación,Computación e Informática,Buenaventura Mestanza Mori,San Martin,INSTITUTO,PRIVADA,3,1400,100,ND,No,Si,31,31,115
Ciencias de la Computación,Computación e Informática,Manuel Antonio Hierro Pozo,Ayacucho,INSTITUTO,PUBLICA,3,170,28,ND,No,Si,72,260,325
Ciencias de la Computación,Computación e Informática,Divina Misericordia,Ica,INSTITUTO,PRIVADA,3,"1,200 - 1,500",100,ND,No,Si,5,5,37
Ciencias de la Computación,Computación e Informática,Data Systems Ingenieros,Ica,INSTITUTO,PRIVADA,3,180 - 250,61,ND,Si,Si,52,85,40
Ciencias de la Computación,Computación e Informática,Alberto Pumayalla Díaz,Pasco,INSTITUTO,PUBLICA,3,60,50,ND,No,No,35,70,102
Ciencias de la Computación,Computación e Informática,La Salle,Cusco,INSTITUTO,PUBLICA,3,370,80,ND,No,Si,40,50,101
Ciencias de la Computación,Computación e Informática,Ilave,Puno,INSTITUTO,PUBLICA,3,ND,ND,ND,No,No,ND,ND,ND
Ciencias de la Computación,Computación e Informática,Alfred Nobel,Pasco,INSTITUTO,PUBLICA,3,110,67,ND,No,No,26,39,116
Ciencias de la Computación,Computación e Informática,La Unión,Piura,INSTITUTO,PUBLICA,3,240 - 280,100,ND,Si,Si,39,39,165
Ciencias de la Computación,Computación e Informática,José María Arguedas,Junin,INSTITUTO,PUBLICA,3,120,98,ND,No,No,40,41,147
Ciencias de la Computación,Computación e Informática,Tecsel,San Martin,INSTITUTO,PRIVADA,3,270,80,ND,No,Si,12,15,28
Ciencias de la Computación,Computación e Informática,De Formación Empresarial En Computación E Informática - Itec,Junin,INSTITUTO,PRIVADA,3,1960,68,ND,No,Si,30,44,178
Ciencias de la Computación,Computación e Informática,Almirante Miguel Grau,Piura,INSTITUTO,PUBLICA,3,240,94,ND,No,No,64,68,317
Ciencias de la Computación,Computación e Informática,Ciro Alegría,San Martin,INSTITUTO,PRIVADA,3,245 - 270,ND,ND,Si,Si,ND,ND,28
Ciencias de la Computación,Computación e Informática,Enrique López Albujar,Lambayeque,INSTITUTO,PUBLICA,3,180,81,ND,No,No,38,47,38
Ciencias de la Computación,Computación e Informática,La Pontificia,Ayacucho,INSTITUTO,PRIVADA,3,"2,200 - 2,750",98,ND,No,Si,39,40,106
Ciencias de la Computación,Computación e Informática,Nueva Esperanza,La Libertad,INSTITUTO,PUBLICA,3,10 - 240,ND,ND,No,Si,ND,ND,ND
Ciencias de la Computación,Computación e Informática,Señor De La Divina Misericordia,Ancash,INSTITUTO,PUBLICA,3,80,ND,ND,No,Si,ND,ND,86
Ciencias de la Computación,Computación e Informática,Pedro Vilcapaza,Puno,INSTITUTO,PUBLICA,3,80,37,ND,No,Si,40,108,168
Ciencias de la Computación,Computación e Informática,Latino,Lima,INSTITUTO,PRIVADA,3,1900,ND,ND,No,Si,ND,ND,ND
Ciencias de la Computación,Computación e Informática,Nuevo Occoro,Huancavelica,INSTITUTO,PUBLICA,3,60,100,ND,No,Si,28,28,94
Ciencias de la Computación,Computación e Informática,Chincha,Ica,INSTITUTO,PUBLICA,3,280,74,ND,No,Si,35,47,91
Ciencias de la Computación,Computación e Informática,Carhuaz,Ancash,INSTITUTO,PUBLICA,3,60,60,ND,No,No,42,70,42
Ciencias de la Computación,Computación e Informática,Hermanos Cárcamo,Piura,INSTITUTO,PUBLICA,3,110,ND,ND,No,No,ND,ND,ND
Ciencias de la Computación,Computación e Informática,Virgen De Cocharcas,Junin,INSTITUTO,PRIVADA,3,ND,ND,ND,Si,Si,ND,ND,ND
Ciencias de la Computación,Computación e Informática,Carlos Cueto Fernandini,Lima,INSTITUTO,PUBLICA,3,480,7,ND,No,No,80,1103,80
Ciencias de la Computación,Computación e Informática,Pichanaki,Junin,INSTITUTO,PUBLICA,3,240,100,ND,No,Si,40,40,184
Ciencias de la Computación,Computación e Informática,John A Mackay,San Martin,INSTITUTO,PRIVADA,3,1650,100,ND,No,Si,10,10,23
Ciencias de la Computación,Computación e Informática,Chocope,La Libertad,INSTITUTO,PUBLICA,3,760,100,ND,No,Si,45,45,45
Ciencias de la Computación,Computación e Informática,San Juan Bautista,Huancavelica,INSTITUTO,PUBLICA,3,120 - 240,89,ND,No,Si,16,18,72
Ciencias de la Computación,Computación e Informática,De Los Andes,Moquegua,INSTITUTO,PUBLICA,3,100,100,ND,No,Si,17,17,48
Ciencias de la Computación,Computación e Informática,Infonet,Junin,INSTITUTO,PRIVADA,3,1460,ND,ND,No,Si,ND,ND,30
